competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202003;3;35;355030;Q;8730199;1;411010;101;7;42;40,00;2;3;0;1;20;0;0;0;1588,13;7;0;1;202003;202301;1;0;5;1588,13
202003;3;35;355030;H;5320202;-1;716610;101;7;21;44,00;1;1;0;1;32;0;0;0;1670,58;5;0;1;202003;202301;1;0;5;1670,58
202003;9;99;999999;A;151201;1;620115;101;7;51;44,00;6;1;2;3;20;0;0;0;2000,00;1;0;1;202004;202301;1;1;5;2000,00
202003;5;52;520870;G;4530701;1;519110;101;7;31;44,00;1;1;0;1;20;0;0;0;1206,00;1;0;1;202003;202301;1;0;5;1206,00
202003;4;41;410480;F;4120400;1;715210;101;3;50;44,00;1;1;0;1;20;0;0;0;1870,00;2;0;1;202003;202301;1;0;1;8,50
202003;1;15;150140;C;1822901;-1;766315;101;7;29;40,00;1;1;0;1;43;0;0;0;1039,00;3;0;1;202003;202301;1;0;5;1039,00
202003;3;31;313380;F;4292802;1;411010;101;7;29;44,00;1;1;0;1;20;0;0;0;1600,00;6;0;1;202003;202301;1;0;5;1600,00
202003;1;15;150140;S;9601701;1;514320;101;7;27;48,00;1;1;0;1;20;0;0;0;1045,00;4;0;1;202009;202301;1;1;5;1045,00
202003;3;33;330455;G;4753900;-1;521110;101;7;58;44,00;2;3;0;1;31;0;0;0;,00;6;0;1;202004;202301;1;1;7;,00
202003;1;13;130260;Q;8630503;1;782320;101;7;38;44,00;3;1;0;1;20;0;0;0;1060,00;1;0;1;202005;202301;1;1;5;1060,00
202004;3;35;350320;G;4721102;-1;521140;101;7;39;44,00;1;1;0;1;43;0;0;0;1123,10;3;0;1;202004;202301;1;0;5;1123,10
202004;1;15;150530;I;5611202;1;141515;108;5;25;39,00;3;1;0;1;20;0;0;0;2100,00;1;0;1;202006;202301;1;1;5;2100,00
202004;5;52;520920;I;5620104;1;521110;108;7;20;40,00;2;1;0;1;20;0;0;0;1045,00;1;0;1;202005;202301;1;1;5;1045,00
202004;1;13;130260;Q;8630503;1;411010;101;7;37;44,00;3;1;0;1;20;0;0;0;1500,00;1;0;1;202005;202301;1;1;5;1500,00
202004;4;41;411520;G;4711302;-1;314410;101;7;43;44,00;1;1;0;1;31;0;0;0;3121,90;8;0;1;202004;202301;1;0;5;3121,90
202004;3;35;352590;F;4330404;1;720135;101;7;46;44,00;3;1;0;1;20;0;0;0;1886,97;1;0;1;202010;202301;1;1;5;1886,97
202004;3;33;330350;G;4644301;1;782310;101;3;30;44,00;1;1;0;1;20;0;0;0;1475,64;2;0;1;202004;202301;1;0;5;1475,64
202004;4;42;420240;F;4120400;1;715210;101;6;25;44,00;6;1;0;1;20;0;0;0;1850,00;4;0;1;202004;202301;1;0;5;1850,00
202004;3;33;330455;H;5212500;1;783225;101;7;22;47,14;3;1;0;1;20;0;0;0;1138,73;5;0;1;202004;202301;1;0;5;1138,73
